Date,Open,High,Low,Close,Volume
2012-10-26,28.006,28.054,27.466,27.565,2256938
2012-10-29,27.466,27.662,27.369,27.466,2938718
2012-10-30,27.369,27.761,27.32,27.32,933617
2012-10-31,27.418,27.761,27.418,27.761,1560045
2012-11-01,27.761,28.25,27.761,28.201,2234267
2012-11-02,28.25,28.397,28.103,28.348,3283079
2012-11-05,28.299,28.494,28.103,28.152,1341703
2012-11-06,28.152,28.152,27.662,27.956,1805346
2012-11-07,28.006,28.201,27.908,28.103,703838
2012-11-08,28.054,28.054,27.466,27.515,1728958
2012-11-09,27.515,27.761,27.418,27.466,1899300
2012-11-12,27.614,27.761,27.614,27.662,3761019
2012-11-13,27.565,27.565,27.075,27.173,3712407
2012-11-14,27.173,27.32,27.124,27.32,2976911
2012-11-15,27.124,27.223,26.879,26.928,1702405
2012-11-16,26.782,26.83,26.487,26.634,2785940
2012-11-19,26.683,26.732,26.341,26.683,5018777
2012-11-20,26.928,26.928,26.487,26.537,8329020
2012-11-21,26.537,26.928,26.39,26.928,3546763
2012-11-22,27.124,27.124,26.634,26.83,4102521
2012-11-23,26.83,27.124,26.782,26.977,3256117
2012-11-26,27.075,27.075,26.683,26.732,6806966
2012-11-27,26.634,26.732,26.487,26.537,12501598
2012-11-28,26.537,26.537,26.096,26.194,6174206
2012-11-29,26.292,26.487,26.194,26.341,6527350
2012-11-30,26.341,26.683,26.242,26.585,8385800
2012-12-03,26.634,26.732,26.145,26.194,10516106
2012-12-04,26.242,26.537,26.096,26.537,8379878
2012-12-05,26.732,27.858,26.487,27.809,17799479
2012-12-06,28.054,28.103,27.124,27.173,24052831
2012-12-07,27.369,27.809,27.173,27.809,14074305
2012-12-10,27.956,28.152,27.908,28.006,18705420
2012-12-11,28.201,28.201,27.711,27.858,9922255
2012-12-12,28.103,28.152,27.711,28.006,13446857
2012-12-13,28.103,28.103,27.614,27.761,13215868
2012-12-14,27.858,29.23,27.809,29.131,19506595
2012-12-17,29.23,29.572,29.131,29.572,17901909
2012-12-18,29.768,29.963,29.327,29.522,24046398
2012-12-19,29.816,29.816,29.376,29.474,13674567
2012-12-20,29.474,29.816,29.131,29.768,17433825
2012-12-21,29.768,29.866,29.23,29.327,10943085
2012-12-24,29.474,29.621,29.327,29.572,2400115
2012-12-27,30.454,30.649,30.257,30.404,16489985
2012-12-28,30.404,30.845,30.159,30.796,14911109
2012-12-31,30.599,30.943,30.502,30.796,15278959
2013-01-02,31.09,32.118,31.09,32.118,15344727
2013-01-03,32.314,32.314,31.873,32.118,17274665
2013-01-04,32.02,32.02,31.139,31.482,25814810
2013-01-07,31.677,31.971,31.432,31.971,12901107
2013-01-08,31.971,31.971,31.335,31.482,12321656
2013-01-09,31.482,31.776,31.285,31.53,11174397
2013-01-10,31.579,31.923,31.432,31.579,9895566
2013-01-11,31.726,31.923,30.699,30.845,15389968
2013-01-14,30.845,32.02,30.845,31.823,16023442
2013-01-15,31.923,32.265,31.628,32.215,17958588
2013-01-16,32.068,32.215,31.482,31.823,13411010
2013-01-17,31.873,31.923,31.432,31.53,10862745
2013-01-18,31.923,32.167,31.628,32.068,11825334
2013-01-21,32.02,32.265,31.823,32.215,8063906
2013-01-22,32.265,32.265,31.726,32.02,11028972
2013-01-23,32.02,32.068,31.677,32.02,9302669
2013-01-24,32.02,32.656,31.579,31.923,16296522
2013-01-25,32.068,32.118,31.579,31.677,8702793
2013-01-28,31.628,32.411,31.628,32.411,12931158
2013-01-29,32.363,32.607,32.314,32.509,10925016
2013-01-30,32.754,32.95,32.411,32.754,15053265
2013-01-31,32.804,32.804,32.559,32.804,7642952
2013-02-01,32.706,33.244,32.461,33.195,15280096
2013-02-04,33.292,33.489,32.95,33.097,10793270
2013-02-05,32.901,33.097,32.706,33.048,16450525
2013-02-06,33.146,33.537,33.146,33.244,15461863
2013-02-07,33.44,33.587,32.656,32.706,16976287
2013-02-08,32.706,33.292,32.706,33.195,11103924
2013-02-14,33.44,33.733,33.244,33.537,10295329
2013-02-15,33.684,33.832,33.537,33.733,7980165
2013-02-18,33.783,33.783,33,33.195,14193403
2013-02-19,33.292,33.292,32.118,32.215,14448284
2013-02-20,32.656,32.656,32.02,32.363,20276086
2013-02-21,32.265,32.265,31.04,31.285,16771194
2013-02-22,31.383,31.53,31.187,31.285,10135820
2013-02-25,31.482,31.923,31.432,31.579,8551844
2013-02-26,31.677,31.776,30.796,30.845,12277190
2013-02-27,30.943,31.53,30.943,31.383,13928269
2013-02-28,31.628,32.559,31.482,32.411,16329218
2013-03-01,32.314,32.411,31.823,32.215,9217702
2013-03-04,32.314,32.314,30.747,30.992,16106469
2013-03-05,31.285,31.726,30.992,31.579,15475649
2013-03-06,32.02,32.118,31.677,31.923,15565518
2013-03-07,32.02,32.068,31.335,31.579,11342000
2013-03-08,31.726,31.873,31.53,31.677,12679669
2013-03-11,31.823,31.823,31.285,31.579,10192271
2013-03-12,31.53,31.873,30.747,30.943,18754440
2013-03-13,30.992,31.04,30.502,30.699,11129257
2013-03-14,30.599,30.894,30.404,30.845,14008129
2013-03-15,30.894,31.53,30.404,30.502,24268790
2013-03-18,30.355,30.747,30.159,30.208,17840635
2013-03-19,30.454,30.747,30.208,30.355,13629838
2013-03-20,30.404,31.432,30.404,31.432,14585946
2013-03-21,31.285,31.726,31.285,31.482,7140297
2013-03-22,31.482,31.677,31.432,31.53,4170025
2013-03-25,31.726,31.971,31.432,31.53,5465242
2013-03-26,31.383,31.53,30.845,31.139,10823805
2013-03-27,31.335,31.53,30.943,31.09,4708320
2013-03-28,31.09,31.09,30.159,30.307,10931647
2013-04-02,30.257,30.599,30.013,30.061,14447467
2013-04-03,30.208,30.307,29.816,29.816,10149889
2013-04-05,29.816,29.816,29.131,29.23,18908034
2013-04-08,29.327,29.816,29.23,29.621,11939712
2013-04-09,29.718,30.307,29.718,29.963,8899719
2013-04-10,30.208,30.208,29.768,30.013,4746706
2013-04-11,30.159,30.355,29.816,29.916,11542655
2013-04-12,29.816,30.061,29.621,29.718,4849863
2013-04-15,29.866,29.866,29.425,29.522,14864847
2013-04-16,29.278,29.718,29.18,29.621,13267119
2013-04-17,29.67,30.013,29.474,29.572,7963275
2013-04-18,29.425,29.963,29.376,29.621,11098799
2013-04-19,29.866,30.894,29.866,30.747,15619794
2013-04-22,30.699,30.796,30.404,30.502,7580656
2013-04-23,30.599,30.599,29.572,29.621,10407446
2013-04-24,29.866,30.355,29.718,30.061,10676032
2013-04-25,30.159,30.355,29.768,29.866,8919041
2013-04-26,30.111,30.307,29.67,29.816,9273666
2013-04-29,29.768,29.816,29.621,29.67,2446429
2013-04-30,29.768,30.061,29.768,29.963,3560856
2013-05-02,29.768,29.816,29.474,29.718,5457297
2013-05-03,29.866,30.551,29.816,30.111,8603835
2013-05-06,30.551,30.699,30.404,30.599,8549608
2013-05-07,30.747,30.747,30.355,30.699,6177053
2013-05-08,30.943,31.139,30.845,30.943,8173414
2013-05-09,31.139,31.139,30.599,30.747,4527742
2013-05-10,30.599,30.992,30.599,30.894,5077396
2013-05-13,30.943,30.943,30.599,30.649,3201788
2013-05-14,30.699,30.747,30.111,30.307,7387745
2013-05-15,30.111,30.454,30.111,30.257,4691571
2013-05-16,30.404,30.845,30.111,30.796,8918263
2013-05-20,31.335,31.776,31.335,31.677,8829242
2013-05-21,31.726,31.726,31.53,31.579,6030008
2013-05-22,31.579,31.776,31.237,31.53,5649698
2013-05-23,31.482,31.628,31.04,31.04,16141497
2013-05-24,31.09,31.53,30.943,31.335,13175789
2013-05-27,31.237,31.677,31.237,31.53,5732520
2013-05-28,31.53,32.215,31.432,32.167,12963483
2013-05-29,32.167,32.265,31.776,31.823,11050304
2013-05-30,31.823,31.971,31.677,31.923,7234084
2013-05-31,31.923,32.02,31.482,31.482,10634364
2013-06-03,31.432,31.823,31.335,31.383,6481752
2013-06-04,31.432,31.53,31.139,31.187,4325150
2013-06-05,31.335,31.335,30.943,31.187,7320649
2013-06-06,30.992,31.09,30.747,30.796,7666798
2013-06-07,30.894,30.894,30.159,30.257,16649760
2013-06-10,30.404,30.404,30.159,30.208,2325547
2013-06-11,30.208,30.208,29.816,29.916,3528687
2013-06-13,29.866,29.866,28.985,29.278,13595549
2013-06-14,29.376,29.572,29.23,29.572,9635288
2013-06-17,29.572,29.768,29.425,29.572,7969544
2013-06-18,29.67,29.866,29.327,29.522,6563911
2013-06-19,29.376,29.572,28.886,29.23,8977711
2013-06-20,29.033,29.131,28.397,28.447,6901124
2013-06-21,28.201,28.642,27.761,28.494,8227918
2013-06-24,28.447,28.447,26.585,26.879,23455080
2013-06-25,26.928,26.928,25.116,26.39,34031254
2013-06-26,26.487,27.025,26.242,26.83,11809453
2013-06-27,26.879,27.223,26.341,26.439,9604548
2013-06-28,26.683,27.418,26.292,27.025,11053991
2013-07-02,27.223,27.32,26.782,26.977,7530819
2013-07-03,26.928,26.977,26.487,26.585,19537934
2013-07-04,26.928,27.565,26.683,27.32,12679294
2013-07-05,27.32,27.662,27.32,27.32,16303671
2013-07-08,27.075,27.124,26.537,26.879,14022942
2013-07-09,26.977,27.025,26.634,26.782,6101438
2013-07-10,26.732,27.565,26.683,27.418,12168709
2013-07-11,27.761,29.083,27.662,28.739,19062037
2013-07-12,28.494,28.838,28.103,28.201,9278568
2013-07-15,28.397,28.886,28.201,28.397,6616933
2013-07-16,28.544,28.739,28.201,28.494,9550779
2013-07-17,28.592,28.739,28.25,28.348,7386008
2013-07-18,27.908,28.152,27.662,27.711,4312283
2013-07-19,27.711,27.809,26.928,27.075,6250594
2013-07-22,26.977,27.223,26.83,27.075,4149293
2013-07-23,27.075,28.103,27.075,28.006,5229560
2013-07-24,27.858,27.908,27.223,27.858,7972199
2013-07-25,27.809,28.054,27.418,27.711,5972817
